ACCOUNTNO,PROP_TYPE,TX_DIST,PT,SPT,N_GRP,LEA,IMPQUALITY,IMPCONDITIONTYPE,EFFAGE,REMODPCT,BLTASDESCRIPTION,BLTASSTORIES,IMPEXTERIOR,BLTASSF,BEDRMCNT,TOT_BATH,BSMT_TOTAL,BSMT_FIN,BSMT_UNFIN,KITCHENS,ATTGAR,DETGAR,RES_RCNLD,RES_COSTRCN,TOT_RCNLD,TOT_RCN,NEW_PT,MLS_TOTAL_SQFT,HAS_ATTGAR,HAS_DETGAR,HAS_BSMT,BSMT_ISFIN,BSMT_PCTCOMP,IS_REMOD,ACTUAL_AGE,TRUE_VAL
010680072,RS,10,111,111,115,1040,Average,Average,44,0.05,1½ Story Fin,1,Frame Vinyl,1788,3,1,0,0,0,1,0,576,69392,173978,87772,192926,RS,1788,0,1,0,0,0,1,99,138400
010690047,RS,10,111,111,115,1040,Below Average,Above Average,28,0.6,Ranch 1 Story,1,Frame Vinyl,815,2,1,287,258,29,1,0,336,80273,109590,80273,109590,RS,1152,0,1,1,0,0.8989547038327527,1,74,122800
010710003,RS,10,111,111,115,1040,Below Average,Average,44,0,Ranch 1 Story,1,Frame Vinyl,960,2,1,0,0,0,1,0,336,35849,100875,35849,100875,RS,960,0,1,0,0,0,0,103,126900
010710005,RS,10,111,111,115,1040,Average,Above Average,33,0.3,Ranch 1 Story,1.5,Masonry Concrete Block,1934,5,1.5,0,0,0,1,0,0,124770,182146,124770,182146,RS,1934,0,0,0,0,0,1,75,199000
010720009,RS,10,111,111,115,1040,Above Average,Average,28,0,Ranch 1 Story,1,Frame Masonry Veneer,1454,3,2.25,1454,1454,0,1,640,0,216967,323831,216967,323831,RS,2908,1,0,1,1,1,0,64,276450
010720011,RS,10,111,111,115,1040,Above Average,Average,44,0,Ranch 1 Story,1,Frame Masonry Veneer,1665,4,2,0,0,0,1,0,0,89554,235668,89554,235668,RS,2230,0,0,0,0,0,0,114,251700
010730003,RS,10,111,111,115,1040,Average,Above Average,12,0.9,Ranch 1 Story,1,Frame Masonry Veneer,1543,4,2.5,0,0,0,1,0,0,156476,169530,156476,169530,RS,1083,0,0,0,0,0,1,121,54300
010730006,RS,10,111,111,115,1040,Average,Average,37,0,Ranch 1 Story,1,Frame Vinyl,1602,3,1,250,0,250,1,216,0,88020,172589,88020,172589,RS,1850,1,0,1,0,0,0,82,156700
010730008,RS,10,111,111,115,1040,Average,Above Average,15,0.3,Ranch 1 Story,1,Frame Vinyl,1138,2,1,0,0,0,1,0,286,115801,133433,115801,133433,RS,1138,0,1,0,0,0,1,121,187900
010740003,RS,10,111,111,115,1040,Average,Above Average,44,0.95,2 Story,2,Frame Masonry Veneer,1430,4,2,0,0,0,1,0,0,90663,160182,90663,160182,RS,1430,0,0,0,0,0,1,108,215500
010750002,RS,10,111,111,115,1040,Average,Average,44,0.35,Ranch 1 Story,1,Frame Vinyl,1143,3,2,0,0,0,1,0,0,48616,127937,48616,127937,RS,1163,0,0,0,0,0,1,104,181200
010750004,RS,10,111,111,115,1040,Average,Above Average,29,0.9,Ranch 1 Story,1,Frame Masonry Veneer,1514,2,2,0,0,0,1,0,500,144702,189897,144702,189897,RS,1600,0,1,0,0,0,1,66,144200
010750004,RS,10,111,111,115,1040,Average,Above Average,29,0.9,Ranch 1 Story,1,Frame Masonry Veneer,1514,2,2,0,0,0,1,0,500,144702,189897,144702,189897,RS,1514,0,1,0,0,0,1,66,191901
010750004,RS,10,111,111,115,1040,Average,Above Average,29,0.9,Ranch 1 Story,1,Frame Masonry Veneer,1514,2,2,0,0,0,1,0,500,144702,189897,144702,189897,RS,1514,0,1,0,0,0,1,66,202200
010750010,RS,10,111,111,115,1040,Average,Average,19,0,Ranch 1 Story,1,Frame Masonry Veneer,1664,3,1.75,1664,333,1331,1,0,0,192710,240887,192710,240887,RS,3328,0,0,1,0,0.20012019230769232,0,46,211700
010810002,RS,10,111,111,115,1040,Above Average,Above Average,38,0.5,2 Story,2,Frame Masonry Veneer,2638,3,2,1319,1319,0,1,437,0,247493,457473,249700,468509,RS,3957,1,0,1,1,1,1,85,271900
010810013,RS,10,111,111,115,1040,Average,Above Average,44,0.7,Ranch 1 Story,1,Frame Vinyl,1893,3,1.75,0,0,0,1,0,0,92588,183706,92588,183706,RS,1565,0,0,0,0,0,1,109,180000
010820007,RS,10,111,108,115,1040,Average,Average,24,0,Modular,1,Frame Vinyl,875,2,1,0,0,0,1,0,0,73797,99725,76268,102853,RS,875,0,0,0,0,0,0,51,160600
010830004,RS,10,111,111,115,1040,Average,Above Average,44,0,Ranch 1 Story,1.5,Frame Vinyl,2123,4,2.5,0,0,0,1,594,0,95133,215234,95133,215234,RS,2123,1,0,0,0,0,0,113,178700
010860007,RS,10,111,111,115,1040,Average,Above Average,13,0.8,Ranch 1 Story,1,Frame Masonry Veneer,1746,3,2.5,726,726,0,1,300,0,223274,246985,223274,246985,RS,2654,1,0,1,1,1,1,70,214000
010860038,RS,10,111,111,115,1040,Average,Average,44,0,Ranch 1 Story,1,Frame Vinyl,1086,2,1.75,894,894,0,1,0,600,83860,189360,83860,189360,RS,1980,0,1,1,1,1,0,104,196100
010890009,RS,10,111,111,115,1040,Average,Above Average,17,0.8,Ranch 1 Story,1,Frame Vinyl,1020,3,1.75,2040,918,1122,1,0,312,153439,178663,153439,178663,RS,2040,0,1,1,0,0.45,1,85,207600
010890010,RS,10,111,111,115,1040,Average,Above Average,26,0.5,Ranch 1 Story,1,Frame Masonry Veneer,1280,2,1,0,0,0,1,0,0,102683,138948,102683,138948,RS,1280,0,0,0,0,0,1,60,135200
010890024,RS,10,111,111,115,1044,Above Average,Average,18,0.5,Bi Level 1 Story,1,Frame Vinyl,1938,5,4,1830,1830,0,2,690,0,340476,421329,340476,421329,RS,3660,1,0,1,1,1,1,44,250300
010900045,RS,10,111,111,107,1016,Below Average,Above Average,9,0.9,Ranch 1 Story,1,Frame Siding,832,2,1,0,0,0,1,0,320,82660,95919,82660,95919,RS,832,0,1,0,0,0,1,74,151100
