ACCOUNTNO,PRED_IMP,LAND_VAL,SOLD_PRICE,TOT_VAL,PRED_TOT
081670012,194207.85611337205,77900,268000,245400,272107.856113372
090120008,188490.53220774155,88600,206000,225500,277090.5322077415
090250005,247396.0012261847,91300,354000,319200,338696.00122618466
090410003,262248.5058220101,92400,412500,380000,354648.5058220101
090440013,271769.9935114032,88200,375000,378000,359969.9935114032
090640019,211078.2757237658,76000,290000,266000,287078.27572376584
090700005,171841.4310133317,56400,185000,196200,228241.4310133317
090700005,171841.4310133317,56400,215600,196200,228241.4310133317
090700005,171841.4310133317,56400,185000,196200,228241.4310133317
090700005,171841.4310133317,56400,215600,196200,228241.4310133317
090710010,189058.82319335864,75100,260000,261900,264158.8231933586
090720004,179782.59913407202,71800,189000,214400,251582.59913407202
090720014,191588.9283119483,76200,274900,279800,267788.9283119483
090860015,231914.8447721273,93600,327000,336500,325514.84477212734
090900015,163924.00145640137,61700,225000,178300,225624.00145640137
091130023,186637.50070190185,62800,215000,230400,249437.50070190185
100050014,153549.56242587263,42200,95000,128700,195749.56242587263
110200089,172117.8862899511,175900,325000,305700,348017.8862899511
110240087,372019.88154135144,276000,800000,743600,648019.8815413514
110540435,223875.76455352444,186600,415000,336900,410475.76455352444
120060051,269554.71553305926,205000,459900,432900,474554.71553305926
120230131,192875.0933792719,110000,297000,242000,302875.0933792719
120330083,269969.5770918722,137900,471500,492900,407869.5770918722
120360177,165969.38234144062,109700,235000,229000,275669.38234144065
120400024,187527.14066241932,117400,265000,274500,304927.1406624193
120460188,176415.93145781272,100800,255000,239700,277215.9314578127
120470110,230619.75881691676,126500,320000,324300,357119.7588169167
120470134,190856.06252101556,117800,255000,271700,308656.0625210155
120500010,183239.99919659886,124500,291000,267300,307739.9991965989
120510023,262517.6434338993,104900,369750,373700,367417.6434338993
120510085,229767.29423101927,104700,379000,323000,334467.2942310193
120650005,199582.14064680366,122800,285000,298200,322382.14064680366
120660001,179701.79394594944,125400,260000,249200,305101.7939459494
120680087,194266.09723240917,115600,322200,292800,309866.09723240917
120690017,239690.63277943645,160200,435000,359500,399890.6327794364
120690021,168184.9274527499,139800,217000,244900,307984.9274527499
120690026,230032.93387858703,132300,379000,350900,362332.93387858703
120710002,227047.94232224816,133000,366100,327400,360047.9423222481
120730055,194274.7043444335,118900,260000,270700,313174.7043444335
130100016,171031.25165275877,97200,216100,212700,268231.2516527588
130230093,201205.51135339614,93400,272000,280800,294605.5113533961
130240034,198529.51365622412,140100,280000,300200,338629.5136562241
130350012,202843.10817065559,500000,850000,783700,702843.1081706556
130440088,187742.28462880594,126100,309000,312400,313842.28462880594
130470003,194026.77635356932,120000,286000,295600,314026.77635356935
130500035,158669.8538264369,130100,245000,219600,288769.8538264369
130500040,180939.78800198296,129000,232000,257100,309939.78800198296
130530029,188858.2468764466,127800,254600,246300,316658.2468764466
140020016,236971.5402584504,180000,410000,408000,416971.54025845043
140020068,505998.3924773366,196500,945900,797200,702498.3924773366
140020124,228126.87770344297,180100,413000,411600,408226.87770344294
140140027,211783.29423634053,131500,330000,313800,343283.29423634056
140250056,224939.29675987663,128400,321000,306300,353339.29675987666
140250057,187212.7471079396,119300,234000,223400,306512.74710793956
140360017,188292.23010972425,152000,289500,291800,340292.2301097242
140370021,221016.22794615646,185300,324900,350800,406316.22794615646
140370038,318941.52793161815,156700,525000,508400,475641.52793161815
140380009,258094.1179945804,147400,398900,376600,405494.1179945804
140430004,225407.77171485688,130500,375000,278500,355907.77171485685
140440105,227870.0108502013,139800,290000,317400,367670.0108502013
140480225,238298.67904439676,147200,355000,346800,385498.67904439673
140650182,251120.72552016255,180000,447000,418300,431120.72552016255
140700276,164917.87395826654,176600,223300,285000,341517.8739582666
140710062,189070.79784977392,182800,291000,312900,371870.7978497739
140710201,191798.04169683534,153900,269000,251700,345698.0416968353
170060005,198784.32217144125,138600,280500,292700,337384.3221714413
170060020,168410.225278087,113500,257850,237900,281910.22527808696
170060066,159371.97582128335,112400,250000,219500,271771.97582128335
170130103,168573.45499331233,116000,250000,237500,284573.45499331236
170180116,194415.13163531478,139200,307000,236200,333615.1316353148
170350010,187629.58716769953,97500,365500,239200,285129.58716769953
170410013,224100.45761804038,106300,345000,325200,330400.4576180404
170450004,173018.61497364604,110700,235000,231200,283718.614973646
170460023,192879.89983196495,108800,266000,249500,301679.899831965
170490007,175015.20554890187,102100,207500,196100,277115.20554890187
170600056,187977.2598928566,116600,238000,262200,304577.2598928566
170600056,187977.2598928566,116600,330000,262200,304577.2598928566
170600056,192084.04379454887,116600,238000,262200,308684.04379454884
170600056,192084.04379454887,116600,330000,262200,308684.04379454884
170600109,162243.56064314235,136800,270800,215800,299043.5606431423
170600129,284798.301881691,140400,495000,435000,425198.301881691
170620030,260159.06123901115,126400,367000,369100,386559.0612390111
170720030,222182.91342835012,111500,310000,287900,333682.9134283501
180010070,180852.23297398002,145000,255000,268000,325852.23297398
180020040,180523.08732491857,162000,324500,274700,342523.0873249186
180040016,213215.18362947318,92200,265500,294200,305415.1836294732
