PROP_TYPE,TX_DIST,PT,SPT,N_GRP,LEA,IMPQUALITY,IMPCONDITIONTYPE,EFFAGE,REMODPCT,BLTASDESCRIPTION,BLTASSTORIES,IMPEXTERIOR,BLTASSF,BEDRMCNT,TOT_BATH,BSMT_TOTAL,BSMT_FIN,BSMT_UNFIN,KITCHENS,ATTGAR,DETGAR,RES_RCNLD,RES_COSTRCN,TOT_RCNLD,TOT_RCN,NEW_PT,HAS_ATTGAR,HAS_DETGAR,HAS_BSMT,BSMT_ISFIN,BSMT_PCTCOMP,IS_REMOD,ACTUAL_AGE,SF_ROOM,ACCOUNTNO,MLS_TOTAL_SQFT,IMPROVED
RS,10,111,111,115,1040,Above Average,Average,28,0,Ranch 1 Story,1,Frame Masonry Veneer,1454,3,2.25,1454,1454,0,1,640,0,216967,323831,216967,323831,RS,Yes,No,Yes,Yes,1,No,64,969.3333333333334,010720009,2908,276450
RS,10,111,111,115,1040,Above Average,Above Average,36,0.7,Ranch 1 Story,1,Frame Masonry Veneer,2278,4,2,0,0,0,1,0,0,189441,303591,189441,303591,RS,No,No,No,No,0,Yes,114,557.5,010720011,2230,251700
RS,10,111,111,115,1040,Average,Above Average,12,0.9,Ranch 1 Story,1,Frame Masonry Veneer,1543,4,2.5,0,0,0,1,0,0,156476,169530,156476,169530,RS,No,No,No,No,0,Yes,121,270.75,010730003,1083,54300
RS,10,111,111,115,1040,Average,Average,37,0,Ranch 1 Story,1,Frame Vinyl,1602,3,1,250,0,250,1,216,0,88020,172589,88020,172589,RS,Yes,No,Yes,No,0,No,82,616.6666666666666,010730006,1850,156700
RS,10,111,111,115,1040,Average,Above Average,15,0.3,Ranch 1 Story,1,Frame Vinyl,1138,2,1,0,0,0,1,0,286,115801,133433,115801,133433,RS,No,Yes,No,No,0,Yes,121,569,010730008,1138,187900
RS,10,111,111,115,1040,Average,Above Average,44,0.95,2 Story,2,Frame Masonry Veneer,1430,4,2,0,0,0,1,0,0,90663,160182,90663,160182,RS,No,No,No,No,0,Yes,108,357.5,010740003,1430,215500
RS,10,111,111,115,1040,Average,Average,44,0.35,Ranch 1 Story,1,Frame Vinyl,1143,3,2,0,0,0,1,0,0,48616,127937,48616,127937,RS,No,No,No,No,0,Yes,104,387.6666666666667,010750002,1163,181200
RS,10,111,111,115,1040,Average,Above Average,29,0.9,Ranch 1 Story,1,Frame Masonry Veneer,1514,2,2,0,0,0,1,0,500,144702,189897,144702,189897,RS,No,Yes,No,No,0,Yes,66,757,010750004,1514,202200
RS,10,111,111,115,1040,Average,Above Average,29,0.9,Ranch 1 Story,1,Frame Masonry Veneer,1514,2,2,0,0,0,1,0,500,144702,189897,144702,189897,RS,No,Yes,No,No,0,Yes,66,757,010750004,1514,191901
RS,10,111,111,115,1040,Average,Above Average,29,0.9,Ranch 1 Story,1,Frame Masonry Veneer,1514,2,2,0,0,0,1,0,500,144702,189897,144702,189897,RS,No,Yes,No,No,0,Yes,66,800,010750004,1600,144200
RS,10,111,111,115,1040,Average,Average,19,0,Ranch 1 Story,1,Frame Masonry Veneer,1664,3,1.75,1664,333,1331,1,0,0,192710,240887,192710,240887,RS,No,No,Yes,No,0.20012019230769232,No,46,1109.3333333333333,010750010,3328,211700
RS,10,111,111,115,1040,Average,Above Average,44,0.9,Ranch 1 Story,1,Frame Vinyl,1197,3,1,0,0,0,1,0,0,70192,124015,70192,124015,RS,No,No,No,No,0,Yes,102,399,010760007,1197,190700
RS,10,111,111,115,1040,Above Average,Above Average,38,0.5,2 Story,2,Frame Masonry Veneer,2638,3,2,1319,1319,0,1,437,0,247493,457473,249700,468509,RS,Yes,No,Yes,Yes,1,Yes,85,1319,010810002,3957,271900
RS,10,111,111,115,1040,Average,Above Average,44,0.7,Ranch 1 Story,1,Frame Vinyl,1893,3,1.75,0,0,0,1,0,0,92588,183706,92588,183706,RS,No,No,No,No,0,Yes,109,521.6666666666666,010810013,1565,180000
RS,10,111,108,115,1040,Average,Average,24,0,Modular,1,Frame Vinyl,875,2,1,0,0,0,1,0,0,73797,99725,76268,102853,RS,No,No,No,No,0,No,51,437.5,010820007,875,160600
RS,10,111,111,115,1040,Average,Above Average,44,0,Ranch 1 Story,1.5,Frame Vinyl,2123,4,2.5,0,0,0,1,594,0,95133,215234,95133,215234,RS,Yes,No,No,No,0,No,113,530.75,010830004,2123,178700
RS,10,111,111,115,1040,Average,Above Average,13,0.8,Ranch 1 Story,1,Frame Masonry Veneer,1746,3,2.5,726,726,0,1,300,0,223274,246985,223274,246985,RS,Yes,No,Yes,Yes,1,Yes,70,884.6666666666666,010860007,2654,214000
RS,10,111,111,115,1040,Average,Average,44,0,Ranch 1 Story,1,Frame Vinyl,1086,2,1.75,894,894,0,1,0,600,83860,189360,83860,189360,RS,No,Yes,Yes,Yes,1,No,104,990,010860038,1980,196100
RS,10,111,111,115,1040,Average,Above Average,17,0.8,Ranch 1 Story,1,Frame Vinyl,1020,3,1.75,2040,918,1122,1,0,312,153439,178663,153439,178663,RS,No,Yes,Yes,No,0.45,Yes,85,680,010890009,2040,207600
RS,10,111,111,115,1040,Average,Above Average,26,0.5,Ranch 1 Story,1,Frame Masonry Veneer,1280,2,1,0,0,0,1,0,0,102683,138948,102683,138948,RS,No,No,No,No,0,Yes,60,640,010890010,1280,135200
RS,10,111,111,115,1044,Above Average,Average,18,0.5,Bi Level 1 Story,1,Frame Vinyl,1938,5,4,1830,1830,0,2,690,0,340476,421329,340476,421329,RS,Yes,No,Yes,Yes,1,Yes,44,732,010890024,3660,250300
RS,10,111,111,107,1016,Below Average,Above Average,9,0.9,Ranch 1 Story,1,Frame Siding,832,2,1,0,0,0,1,0,320,82660,95919,82660,95919,RS,No,Yes,No,No,0,Yes,74,416,010900045,832,151100
RS,10,111,111,107,1016,Average,Above Average,44,0.9,2 Story,2,Frame Stucco,2088,4,1.75,0,0,0,1,0,864,109653,209871,109653,209871,RS,No,Yes,No,No,0,Yes,127,522,010910129,2088,150900
RS,40,111,111,171,1718,Average,Average,13,0,Split Level,2,Frame Vinyl,2696,5,3,1350,540,810,1,462,0,266916,303950,266916,303950,RS,Yes,No,Yes,No,0.4,No,34,863.2,020030018,4316,288000
RS,40,111,111,171,1718,Above Average,Average,11,0,2 Story,2,Frame Stucco,2970,3,4.25,1807,1807,0,2,572,0,488208,543908,488208,543908,RS,Yes,No,Yes,Yes,1,No,31,1611,020030021,4833,522400
RS,40,111,111,171,1718,Above Average,Average,8,0,2 Story,2,Frame Stucco,3822,7,4.5,1778,1778,0,2,810,0,479361,515808,479361,515808,RS,Yes,No,Yes,Yes,1,No,25,796.5714285714286,020030045,5576,378300
